|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| name                                                 | SALE | price(Rub)    | available_sizes(EU) | img                                                                                               | link                                                                                  |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Coperni Light Blue Medium                            | NO   |         79900 | None                | https://kicksmania.ru/wp-content/uploads/2023/12/coplbmain-730x438.png                            | https://kicksmania.ru/product/coperni-light-blue-medium/                              |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Дженга Jacquemus La tour                             | NO   |         19900 | None                | https://kicksmania.ru/wp-content/uploads/2023/12/dhengmain-730x438.png                            | https://kicksmania.ru/product/dzhenga-jacquemus-la-tour/                              |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Шарф L’echarpe Jacquemus Multi-Beige                 | NO   |         29900 | None                | https://kicksmania.ru/wp-content/uploads/2023/12/jacsharfmbmai1n1-730x438.png                     | https://kicksmania.ru/product/sharf-lecharpe-jacquemus-multi-beige/                   |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Supreme New Era Repeat Balaclava Black               | NO   |         14900 | None                | https://kicksmania.ru/wp-content/uploads/2023/11/supbalblackmain-730x438.png                      | https://kicksmania.ru/product/supreme-new-era-repeat-balaclava-black/                 |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Набор елочных игрушек Jacquemus Gold / Red           | NO   |         31900 | None                | https://kicksmania.ru/wp-content/uploads/2023/12/jacred4main-730x438.png                          | https://kicksmania.ru/product/nabor-elochnyh-igrushek-jacquemus-gold-red/             |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Шарф L’echarpe Jacquemus Navy                        | NO   |         29900 | None                | https://kicksmania.ru/wp-content/uploads/2023/12/jacsharfnavymain-730x438.png                     | https://kicksmania.ru/product/sharf-lecharpe-jacquemus-navy/                          |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Набор елочных игрушек Jacquemus Green / Silver       | NO   |         26900 | None                | https://kicksmania.ru/wp-content/uploads/2023/12/jactoyschrmain-730x438.png                       | https://kicksmania.ru/product/nabor-elochnyh-igrushek-jacquemus-green-silver/         |
|------------------------------------------------------|------|---------------|---------------------|---------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
