|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| name                                                   | SALE | price(Rub)    | available_sizes(EU)                                                                                                          | img                                                                                                               | link                                                                                  |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Yeezy Boost 350 V2 Core Black Red Kids                 | NO   |         57900 |                                                                                                                           28 | https://kicksmania.ru/wp-content/uploads/2023/12/ylbkikmain-730x438.png                                           | https://kicksmania.ru/product/yeezy-boost-350-v2-core-black-red-kids/                 |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Yeezy Boost 350 V2 Light Kids                          | NO   |         62900 | 28, 35                                                                                                                       | https://kicksmania.ru/wp-content/uploads/2023/12/ylbkmain-730x438.png                                             | https://kicksmania.ru/product/yeezy-boost-350-v2-light-kids/                          |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Yeezy Slide Glow Green Infants                         | NO   |         24900 | 19, 21, 23                                                                                                                   | https://kicksmania.ru/wp-content/uploads/2023/12/slidegreenkidsmain-730x438.png                                   | https://kicksmania.ru/product/yeezy-slide-glow-green-infants/                         |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Fear of God Essentials Hoodie Blush Kids               | NO   |         21900 | None                                                                                                                         | https://kicksmania.ru/wp-content/uploads/2023/12/fogblushmain-730x438.png                                         | https://kicksmania.ru/product/fear-of-god-essentials-hoodie-blush-kids/               |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Jordan Essentials Holiday Set Kids                     | NO   |         14900 | None                                                                                                                         | https://kicksmania.ru/wp-content/uploads/2023/12/jkidssetmain-730x438.png                                         | https://kicksmania.ru/product/jordan-essentials-holiday-set-kids/                     |
|--------------------------------------------------------|------|---------------|------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------|
| Air Jordan 1 Mid Schematic Kids                        | NO   |         27900 | 29.5, 31                                                                                                                     | https://kicksmania.ru/wp-content/uploads/2023/12/jcartmain-730x438.png                                            | https://kicksmania.ru/product/air-jordan-1-mid-schematic-kids/                        |
