name,SALE,price(Rub),available_sizes(EU),img,link
Jacquemus Le T-shirt Logo Pink,NO,21900,"XS, S, M",https://kicksmania.ru/wp-content/uploads/2023/08/main-3-730x438.png,https://kicksmania.ru/product/jacquemus-le-t-shirt-logo-pink/
Supreme Eyewear Logo Tee Pale Green,YES,24900 - 12450,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainsupremetee-730x438.png,https://kicksmania.ru/product/supreme-eyewear-logo-tee-pale-green/
Supreme Handstyle Logo Tee Black,YES,28900 - 14450,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainsupremeteeblack-730x438.png,https://kicksmania.ru/product/supreme-handstyle-logo-tee-black/
Футболка Air Jordan Dunk Michael Jordan Black,YES,19900 - 14925,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainjordteeb-730x438.png,https://kicksmania.ru/product/futbolka-air-jordan-dunk-michael-jordan-black/
BAPE x Michael Jackson Tee White,NO,24900,None,https://kicksmania.ru/wp-content/uploads/2023/12/bapemjmain-730x438.png,https://kicksmania.ru/product/bape-x-michael-jackson-tee-white/
Jacquemus Le Body Short x Nike Off White,NO,39900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bodymain-730x438.png,https://kicksmania.ru/product/jacquemus-le-body-short-x-nike-off-white/
Jacquemus Le Sweatshirt Brodé Hoodie,NO,47900,None,https://kicksmania.ru/wp-content/uploads/2023/11/jachoodiewhitemain-730x438.png,https://kicksmania.ru/product/jacquemus-le-sweatshirt-brode-hoodie/
Jacquemus Le t-shirt Gros Grain Black,NO,26900,None,https://kicksmania.ru/wp-content/uploads/2023/11/jacblackmain-730x438.png,https://kicksmania.ru/product/jacquemus-le-t-shirt-gros-grain-black/
KAWS x Uniqlo Sweatshirt Black,NO,19900,None,https://kicksmania.ru/wp-content/uploads/2023/10/kawsblackswmain-730x438.png,https://kicksmania.ru/product/kaws-x-uniqlo-sweatshirt-black/
KAWS x Uniqlo Sweatshirt White,NO,19900,None,https://kicksmania.ru/wp-content/uploads/2023/10/kawsswmainew-730x438.png,https://kicksmania.ru/product/kaws-x-uniqlo-sweatshirt-white/
KAWS x Uniqlo Tee Black,NO,14900,None,https://kicksmania.ru/wp-content/uploads/2023/10/kawsblackteemain-730x438.png,https://kicksmania.ru/product/kaws-x-uniqlo-tee-black/
KAWS x Uniqlo Tee White / Blue,NO,14900,None,https://kicksmania.ru/wp-content/uploads/2023/10/kawsteewhitenewmain-730x438.png,https://kicksmania.ru/product/kaws-x-uniqlo-tee-white-blue/
KAWS x Uniqlo Tee White / Pink,NO,14900,None,https://kicksmania.ru/wp-content/uploads/2023/10/kawsteepinknewmain-730x438.png,https://kicksmania.ru/product/kaws-x-uniqlo-tee-white-pink/
KITH x Disney Astonished Goofy Vintage Williams Crewneck Sandrift,NO,41900,None,https://kicksmania.ru/wp-content/uploads/2023/12/kithgoofymain-730x438.png,https://kicksmania.ru/product/kith-x-disney-astonished-goofy-vintage-williams-crewneck-sandrift/
KITH x Disney Family Portrait Williams Crewneck,NO,41900,None,https://kicksmania.ru/wp-content/uploads/2023/12/kith0main-730x438.png,https://kicksmania.ru/product/kith-x-disney-family-portrait-williams-crewneck/
KITH x Spider Man Web Logo Hoodie Black,NO,43900,None,https://kicksmania.ru/wp-content/uploads/2023/12/kithblackhoodmain-730x438.png,https://kicksmania.ru/product/kith-x-spider-man-web-logo-hoodie-black/
