name,SALE,price(Rub),available_sizes(EU),img,link
Bearbrick Teenage Mutant Ninja Turtles Raphael 400% + 100%,NO,69900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbmichelangeloraph-730x438.png,https://kicksmania.ru/product/bearbrick-teenage-mutant-ninja-turtles-raphael-400-100/
Bearbrick x Tom and Jerry in Hogwarts House Robes 100% + 400%,NO,89900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbtmhwmain-730x438.png,https://kicksmania.ru/product/bearbrick-x-tom-and-jerry-in-hogwarts-house-robes-100-400/
the Ugly Duck x Mike Tyson,NO,279900,None,https://kicksmania.ru/wp-content/uploads/2023/12/tudxtysonmain-730x438.png,https://kicksmania.ru/product/tud-x-mike-tyson/
the Ugly Duck Spiced Latte,NO,229900,None,https://kicksmania.ru/wp-content/uploads/2023/12/tudlattemain-730x438.png,https://kicksmania.ru/product/tud-spiced-latte/
Supreme Bobblehead Figure Blue,YES,21900 - 10950,None,https://kicksmania.ru/wp-content/uploads/2023/10/mainsupremelog-730x438.png,https://kicksmania.ru/product/supreme-bobblehead-figure-blue/
BearBrick Sulley 400% + 100%,NO,39900,None,https://kicksmania.ru/wp-content/uploads/2023/11/sulley400main-730x438.png,https://kicksmania.ru/product/bearbrick-sulley-400-100/
the Ugly Duck x PunkMeTender,NO,341900,None,https://kicksmania.ru/wp-content/uploads/2023/12/tudcolormain-730x438.png,https://kicksmania.ru/product/tud-x-punkmetender/
Bearbrick Baby Milo And Banana 100% & 400%,NO,49900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbbape2main-730x438.png,https://kicksmania.ru/product/bearbrick-baby-milo-and-banana-100-400/
the Ugly Duck Orange Flame,NO,229900,None,https://kicksmania.ru/wp-content/uploads/2023/12/tudcolorflamemain-730x438.png,https://kicksmania.ru/product/tud-orange-flame/
BearBrick x Kith Molecule 1000%,NO,224900,None,https://kicksmania.ru/wp-content/uploads/2023/12/kithmoleculemain-730x438.png,https://kicksmania.ru/product/bearbrick-x-kith-molecule-1000/
the Ugly Duck Sample,NO,399900,None,https://kicksmania.ru/wp-content/uploads/2023/12/tudsamplemain-730x438.png,https://kicksmania.ru/product/tud-sample/
BearBrick Series 43,NO,3900,None,https://kicksmania.ru/wp-content/uploads/2022/12/bearbrick-series-43-730x438.jpg,https://kicksmania.ru/product/bearbrick-series-43/
BearBrick the Batman 1000%,NO,123500,None,https://kicksmania.ru/wp-content/uploads/2023/01/batman1000-730x438.jpg,https://kicksmania.ru/product/bearbrick-the-batman-1000/
BearBrick Series 45,NO,2790,None,https://kicksmania.ru/wp-content/uploads/2023/03/bb45-730x438.jpg,https://kicksmania.ru/product/bearbrick-series-45/
BearBrick Series 46,NO,2790,None,https://kicksmania.ru/wp-content/uploads/2023/11/bb46main-1-730x438.png,https://kicksmania.ru/product/bearbrick-series-46/
Marvel x BearBrick Spider Man Black Costume 400%+100%,NO,61800,None,https://kicksmania.ru/wp-content/uploads/2023/03/final-marvel-bb-730x438.png,https://kicksmania.ru/product/marvel-x-bearbrick-spider-man-black-costume-400-100/
BearBrick Series 44,NO,2900,None,https://kicksmania.ru/wp-content/uploads/2022/12/bearbrick-series-44-730x438.jpg,https://kicksmania.ru/product/bearbrick-series-44/
BearBrick Cookie Monster 1000%,NO,129300,None,https://kicksmania.ru/wp-content/uploads/2023/01/bb-cookie-monster-1000-730x438.jpg,https://kicksmania.ru/product/bearbrick-cookie-monster-1000/
BearBrick Series 42,NO,3900,None,https://kicksmania.ru/wp-content/uploads/2022/12/bearbrick-series-42-730x438.jpg,https://kicksmania.ru/product/bearbrick-series-42/
BearBrick  Project Mercury Astronaut NASA 100% & 400%,NO,32900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbastromain-730x438.png,https://kicksmania.ru/product/bearbrick-project-mercury-astronaut-nasa-100-400/
BearBrick Jerry Classic Color 400%+100%,NO,32900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbtjymain-730x438.png,https://kicksmania.ru/product/bearbrick-tom-jerry-jerry-classic-color-100-400/
BearBrick Amplifier 100% & 400%,NO,27900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbampfmain-730x438.png,https://kicksmania.ru/product/bearbrick-amplifier-100-400/
BearBrick Matthew 100% & 400%,NO,32900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbmthmain-730x438.png,https://kicksmania.ru/product/bearbrick-matthew-100-400/
BearBrick Jerry Classic Color 400%+100%,NO,34900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbtjymain-730x438.png,https://kicksmania.ru/product/bearbrick-mona-lisa-overdrive-100-400/
BearBrick Baby Milo Classic 400%,NO,39900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbmilomain-730x438.png,https://kicksmania.ru/product/bearbrick-baby-milo-classic-400/
BearBrick Chear Bear Best Friends 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbbfmain-730x438.png,https://kicksmania.ru/product/bearbrick-chear-bear-best-friends-1000/
BearBrick Elmo 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbelmo1000main-730x438.png,https://kicksmania.ru/product/bearbrick-elmo-1000/
BearBrick France — Japan 160e Anniversaire 100%,NO,19900,None,https://kicksmania.ru/wp-content/uploads/2023/12/bbfrancemain-730x438.png,https://kicksmania.ru/product/bearbrick-france-japan-160e-anniversaire-100/
BearBrick Gelato Pique Brown 1000%,NO,119900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbgelatomain-730x438.png,https://kicksmania.ru/product/bearbrick-gelato-pique-brown-1000/
BearBrick Iron Man Mark50 400%+100%,NO,41900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbironmain-730x438.png,https://kicksmania.ru/product/bearbrick-iron-man-mark50-400-100/
BearBrick Krusty the Clown 400%,NO,51900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbclownmain-730x438.png,https://kicksmania.ru/product/bearbrick-krusty-the-clown-400/
BearBrick Mickey Mouse 1930’s Poster 100% + 400%,NO,31900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbmickeymain-730x438.png,https://kicksmania.ru/product/bearbrick-mickey-mouse-1930s-poster-100-400/
BearBrick Minions 400%,NO,29900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbminmain-730x438.png,https://kicksmania.ru/product/bearbrick-minions-400/
BearBrick Mr. Incredibles 400%+100%,NO,21900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbincmain-730x438.png,https://kicksmania.ru/product/bearbrick-mr-incredibles-400-100/
Bearbrick Nike Tech Fleece N98 400%+100%,NO,69900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbnikemain-730x438.png,https://kicksmania.ru/product/bearbrick-nike-tech-fleece-n98-400-100/
BearBrick Rosette Stone 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2023/11/bbrsmain-730x438.png,https://kicksmania.ru/product/bearbrick-rosette-stone-1000/
Bearbrick Sulley 1000%,NO,119900,None,https://kicksmania.ru/wp-content/uploads/2023/11/sulleymain-730x438.png,https://kicksmania.ru/product/bearbrick-sulley-1000/
BearBrick SuperMan Hush 1000%,NO,99900,None,https://kicksmania.ru/wp-content/uploads/2023/10/bbsupermain-730x438.png,https://kicksmania.ru/product/bearbrick-superman-hush-1000/
