name,SALE,price(Rub),available_sizes(EU),img,link
Travis Scott x Air Jordan 1 Low Olive,NO,109900 - 154900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46",https://kicksmania.ru/wp-content/uploads/2023/04/olive-main-730x438.jpg,https://kicksmania.ru/product/travis-scott-x-air-jordan-1-low-olive/
Travis Scott x Air Jordan 1 Low Golf Natural Olive,NO,159900 - 169900,"40, 41, 42, 43, 44, 45, 46",https://kicksmania.ru/wp-content/uploads/2023/10/1-730x438.png,https://kicksmania.ru/product/travis-scott-x-air-jordan-1-low-golf-natural-olive/
Travis Scott x Air Jordan 1 Low Reverse Mocha,NO,168900 - 209900,"37.5, 39, 40, 40.5, 41, 42, 42.5, 46",https://kicksmania.ru/wp-content/uploads/2022/07/jordan-1-retro-low-og-sp-travis-scott-reverse-mocha-768x461.jpg,https://kicksmania.ru/product/jordan-1-retro-low-og-sp-travis-scott-reverse-mocha/
Jacquemus x J Force 1 Low White,NO,31120 - 40410,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45, 45.5, 46, 47, 47.5, 48.5, 49",https://kicksmania.ru/wp-content/uploads/2023/07/jjw-main-730x438.png,https://kicksmania.ru/product/nike-j-force-1-low-lx-jacquemus-white/
Jacquemus x J Force 1 Low Black,NO,32900 - 44900,"36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5, 45",https://kicksmania.ru/wp-content/uploads/2023/07/jjb-main-730x438.png,https://kicksmania.ru/product/nike-j-force-1-low-lx-jacquemus-black/
Tiffany & CO x Air Force 1 Low,NO,254900 - 269900,"37.5, 43",https://kicksmania.ru/wp-content/uploads/2023/03/tiffani-main-730x438.jpg,https://kicksmania.ru/product/tiffany-co-x-air-force-1-low/
Air Jordan 1 Retro Low OG NC to Chi,NO,32900,"36.5, 37.5, 38, 39, 40, 40.5, 41",https://kicksmania.ru/wp-content/uploads/2023/11/chimain-730x438.png,https://kicksmania.ru/product/air-jordan-1-retro-low-og-nc-to-chi/
Nike Dunk Low Barbie,NO,34900,"35.5, 36, 36.5, 37.5, 38, 38.5, 39, 40, 40.5, 41, 42, 42.5, 43, 44, 44.5",https://kicksmania.ru/wp-content/uploads/2023/09/mainbarbie-730x438.png,https://kicksmania.ru/product/nike-dunk-low-lx-barbie/
Adidas Originals Samba Beige,NO,28900,"36, 36 2/3, 37 1/3, 38, 38 2/3, 39 1/3, 40, 40 2/3, 41 1/3, 42, 42 2/3, 43 1/3, 44, 44 2/3, 45 1/3, 46, 46 2/3, 47 1/3, 48, 49 1/3, 50 2/3",https://kicksmania.ru/wp-content/uploads/2023/10/sambabmain-730x438.png,https://kicksmania.ru/product/adidas-originals-samba-beige/
Adidas Originals Samba Green,NO,26900,39 1/3,https://kicksmania.ru/wp-content/uploads/2023/10/sambagreenmain-730x438.png,https://kicksmania.ru/product/adidas-originals-samba-green/
